cgl_locus,cg_locus,gene_name,product
Cgl2419,cg0037,,Transposase
Cgl2419,cg2652,tnp12a(ISCg12a),Transposase
Cgl2732,cg3027,mrpE,Multisubunit Na+/H+ antiporter
Cgl0124,cg0160,,hypothetical protein
Cgl1905,cg2086,dut,Deoxyuridine 5'-triphosphate nucleotidohydrolase (dUTPase) (EC 3.6.1.23) (dUTP pyrophosphatase)
Cgl1217,cg1373,,Lactoylglutathione lyase and related lyases
Cgl0843,cg0965,,dihydrofolate reductase (EC 1.5.1.3)
Cgl2498,cg2748,,Hypothetical membrane protein
Cgl1511,cg1706,,Arsenate-mycothiol transferase ArsC1 (EC 2.8.4.2) (Mycothiol-dependent arsenate reductase ArsC1)
Cgl2319,cg2547,,Hypothetical membrane protein
Cgl0071,cg0092,,DoxX family membrane protein
Cgl2194,cg2408,,Cytochrome c oxidase polypeptide 4 (EC 7.1.1.9) (Cytochrome aa3 subunit 4) (Cytochrome c oxidase polypeptide IV)
Cgl2280,cg2502,fur,Fe2+/Zn2+ uptake regulation proteins
Cgl2529,,,Uncharacterized protein
Cgl0608,cg0704,,Uncharacterized protein
Cgl0314,cg0378,,Uncharacterized phage-associated protein
Cgl1984,cg2175,rbfA,Ribosome-binding factor A
Cgl0277,cg0335,,Uncharacterized ACR
Cgl0282,cg0339,,Translation initiation inhibitor
Cgl0494,cg0582,rpsG,Small ribosomal subunit protein uS7 (30S ribosomal protein S7)
Cgl1691,,,Uncharacterized protein
Cgl2374,cg2607,,Hypothetical membrane protein
Cgl0596,cg0689,,Uncharacterized protein
Cgl3019,cg3347,,Uncharacterized BCR
Cgl0183,cg0228,,PAS/PAC domain (EC 2.7.3.-)
Cgl2797,cg3097,hspR,Predicted transcriptional regulators
Cgl2115,cg2320,,Predicted transcriptional regulators
Cgl0062,cg0081,,Tautomerase cis-CaaD-like domain-containing protein
Cgl0423,cg0503,aroD,3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)
Cgl0569,cg0659,,N-acetyltransferase domain-containing protein
Cgl2620,cg2903,,Uncharacterized protein
Cgl1407,cg1595,uspA2,Universal stress protein UspA and related nucleotide-binding proteins
Cgl1694,cg1909,,Uncharacterized protein
