cgl_locus,cg_locus,gene_name,product
Cgl0391,cg0469,,"ABC-type transporter, ATPase component"
Cgl2865,cg3172,,tRNA (guanine-N(7)-)-methyltransferase (EC 2.1.1.33) (tRNA (guanine(46)-N(7))-methyltransferase) (tRNA(m7G46)-methyltransferase)
Cgl2626,cg2909,otsB,Trehalose 6-phosphate phosphatase (EC 3.1.3.12)
Cgl1265,cg1427,,DUF1524 domain-containing protein
Cgl1586,cg1789,tpi,Triosephosphate isomerase (TIM) (TPI) (EC 5.3.1.1) (Triose-phosphate isomerase)
Cgl0799,cg0910,,Histidinol-phosphatase (HolPase) (EC 3.1.3.15) (Histidinol-phosphate phosphatase)
Cgl1941,cg2127,,Uncharacterized protein
Cgl0558,cg0649,map1,Methionine aminopeptidase (MAP) (MetAP) (EC 3.4.11.18) (Peptidase M)
Cgl2688,cg2975,panC2,pantoate--beta-alanine ligase (AMP-forming) (EC 6.3.2.1)
Cgl2091,cg2293,,indole-3-glycerol-phosphate synthase (EC 4.1.1.48)
Cgl1459,cg1650,pctC,"ABC-type transporter, permease components"
Cgl1520,cg1715,,Uncharacterized protein
Cgl0395,cg0474,,Methylase
Cgl1154,cg1304,,Secreted protein
Cgl2550,cg2809,,Hypothetical membrane protein
Cgl1482,cg1677,cobG,Uncharacterized protein
Cgl2381,cg2614,,Transcriptional regulator
Cgl1738,cg1957,,Uncharacterized protein
Cgl0053,cg0072,,Probable membrane transporter protein
Cgl1144,cg1295,,Predicted hydrolases or acyltransferases (Alpha/beta hydrolase superfamily)
Cgl2793,cg3093,,Predicted amidohydrolase
Cgl2108,cg2311,,SAM-dependent methyltransferases
Cgl1460,cg1651,pctB,Phosphonates import ATP-binding protein PhnC (EC 7.3.2.2)
Cgl0525,cg0612,dkg,"Aldo/keto reductases, related to diketogulonate reductase (EC 1.1.1.-)"
Cgl0409,cg0489,,Hypothetical membrane protein
Cgl2508,cg2761,,Metal-dependent hydrolases of the beta-lactamase superfamily III (EC 3.1.6.1)
Cgl2198,cg2412,,Hypothetical membrane protein
Cgl2109,cg2312,gip,Hydroxypyruvate isomerase
Cgl1186,cg1341,narI,Nitrate reductase gamma subunit (EC 1.7.99.4)
Cgl0675,cg0777,,"ABC-type transporter, ATPase component"
Cgl2741,cg3036,xthA,Exonuclease III (EC 3.1.11.2)
Cgl2391,cg2624,pcaR,Transcriptional regulator
Cgl3079,cg3409,thiD2,PN/PL/PM kinase (EC 2.7.1.35) (EC 2.7.1.49) (EC 2.7.4.7) (Pyridoxal kinase) (Pyridoxamine kinase) (Vitamin B6 kinase)
Cgl0223,cg0274,,Monoamine oxidase (EC 1.4.3.10)
Cgl1981,cg2172,,Calcineurin-like phosphoesterase domain-containing protein
Cgl0394,cg0472,,DUF2993 domain-containing protein
Cgl1209,cg1365,atpH,ATP synthase subunit delta (ATP synthase F(1) sector subunit delta) (F-type ATPase subunit delta) (F-ATPase subunit delta)
Cgl0847,cg0969,nei,DNA-(apurinic or apyrimidinic site) lyase (EC 4.2.99.18)
Cgl0370,cg0445,sdhCD,Hypothetical membrane protein
Cgl2674,cg2958,butA,diacetyl reductase [(S)-acetoin forming] (EC 1.1.1.304)
Cgl1770,cg1990,,Nudix hydrolase domain-containing protein
Cgl0491,cg0579,,Predicted transcriptional regulators
Cgl0719,cg0825,,Dehydrogenases with different specificities (Related to short-chain alcohol dehydrogenases) (EC 1.1.1.47)
Cgl2540,cg2799,pknE,Thioredoxin-like fold domain-containing protein
Cgl0844,cg0966,thyA,Thymidylate synthase (TS) (TSase) (EC 2.1.1.45)
Cgl0443,cg0525,,Peptidase M24 domain-containing protein
Cgl0531,cg0621,,"ABC-type transporter, permease components"
Cgl1206,cg1362,atpB,ATP synthase subunit a (ATP synthase F0 sector subunit a) (F-ATPase subunit 6)
Cgl2618,cg2901,,Phospholipase/carboxylesterase/thioesterase domain-containing protein
Cgl1110,cg1261,,Cytokinin riboside 5'-monophosphate phosphoribohydrolase (EC 3.2.2.n1)
Cgl2261,cg2480,,SMI1/KNR4 family protein
Cgl0822,cg0940,,Glutamine cyclotransferase
Cgl0920,cg1050,,Hypothetical membrane protein
Cgl0293,cg0353,nth,Endonuclease III (EC 4.2.99.18) (DNA-(apurinic or apyrimidinic site) lyase)
Cgl2249,cg2467,,"ABC-type transporter, ATPase component"
Cgl2544,cg2803,,Putative hydro-lyase Cgl2544/cg2803 (EC 4.2.1.-)
Cgl2112,cg2315,,"ABC-type transporter, ATPase component"
Cgl0123,cg0159,,Uncharacterized protein
Cgl1568,cg1768,,"ABC-type transporter, permease components"
Cgl3037,cg3366,rmpA,Phosphotransferase system mannitol/fructose-specific IIA domain (Ntr-type)
Cgl0033,cg0047,,Late embryogenesis abundant protein
Cgl1221,cg1377,ssuC,"ABC-type transporter, permease components"
Cgl2850,cg3156,,Htaa domain-containing protein
Cgl1168,cg1320,lipP,Esterase/lipase
Cgl1931,cg2115,sugR,Transcriptional regulators of sugar metabolism
Cgl1536,cg1733,,Uncharacterized protein
Cgl1074,cg1222,lplA,Lipoate-protein ligase A
Cgl0918,cg1048,,Predicted hydrolases of the HAD superfamily
Cgl2472,cg2717,,Short-chain dehydrogenases of various substrate specificities
Cgl0214,cg0263,modA,"ABC-type transporter, periplasmic component"
Cgl1464,cg1655,thiM,Hydroxyethylthiazole kinase (EC 2.7.1.50) (4-methyl-5-beta-hydroxyethylthiazole kinase) (TH kinase) (Thz kinase)
Cgl2252,cg2471,,DUF1707 domain-containing protein
Cgl0302,cg0364,,Hypothetical membrane protein
Cgl0781,cg0890,,Uncharacterized protein
Cgl2907,cg3215,glpQ1,Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46)
Cgl0891,cg1015,,Ribosomal RNA small subunit methyltransferase I (EC 2.1.1.198) (16S rRNA 2'-O-ribose C1402 methyltransferase) (rRNA (cytidine-2'-O-)-methyltransferase RsmI)
Cgl1836,cg2057,,Long Rib domain-containing protein
Cgl1111,cg1262,,Dihydropteroate synthase (DHPS) (EC 2.5.1.15) (Dihydropteroate pyrophosphorylase)
Cgl0113,cg0148,panC,Pantothenate synthetase (PS) (EC 6.3.2.1) (Pantoate--beta-alanine ligase) (Pantoate-activating enzyme)
Cgl1068,cg1215,nadC,nicotinate-nucleotide diphosphorylase (carboxylating) (EC 2.4.2.19) (Quinolinate phosphoribosyltransferase [decarboxylating])
Cgl0290,cg0349,,"Zn-dependent hydrolases, including glyoxylases"
Cgl1458,cg1649,pctD,"ABC-type transporter, permease components"
Cgl0648,cg0750,folD,Bifunctional protein FolD [Includes: Methylenetetrahydrofolate dehydrogenase (EC 1.5.1.5); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)]
Cgl1165,cg1317,,SWIM-type domain-containing protein
Cgl0047,cg0064,,FHA domain-containing protein
Cgl0834,cg0954,,Serine hydrolase
Cgl2568,cg2839,,AB hydrolase-1 domain-containing protein
Cgl2025,cg2221,tsf,Elongation factor Ts (EF-Ts)
Cgl2407,cg2640,benD,Dehydrogenases with different specificities (Related to short-chain alcohol dehydrogenases)
Cgl1498,cg1692,pimT,tRNA (adenine(58)-N(1))-methyltransferase TrmI (EC 2.1.1.220)
Cgl0372,cg0447,sdhB,succinate dehydrogenase (EC 1.3.5.1)
Cgl0111,cg0146,atlR,Transcriptional regulators of sugar metabolism
Cgl2359,cg2591,dkgA,"Aldo/keto reductases, related to diketogulonate reductase (EC 1.1.1.-)"
Cgl1793,cg2012,,Uncharacterized protein
Cgl2509,cg2762,murI,Glutamate racemase (EC 5.1.1.3)
Cgl2068,cg2268,,Transcriptional regulator
Cgl0449,cg0532,,Glycosyltransferase
Cgl0983,cg1121,,Hypothetical membrane protein
Cgl0039,cg0054,,Siderophore-interacting protein
Cgl2259,cg2478,,Beta-lactamase class C and other penicillin binding proteins
Cgl1910,cg2091,ppgK,Transcriptional regulators (EC 2.7.1.63)
Cgl1500,cg1694,recB,RecB family exonuclease
Cgl0393,cg0471,,Hypothetical membrane protein
Cgl0058,cg0077,,VTC domain-containing protein
Cgl2460,cg2704,,"ABC-type transporter, permease components"
Cgl1664,cg1873,tesB2,Acyl-CoA thioesterase (EC 3.1.2.-)
Cgl0332,cg0401,rmlA1,Glucose-1-phosphate thymidylyltransferase (EC 2.7.7.24)
Cgl2783,cg3083,,Predicted Co/Zn/Cd cation transporters
Cgl0999,cg1137,,LysR substrate-binding domain-containing protein
Cgl2834,cg3136,,Nitroreductase (EC 1.6.99.-)
Cgl1034,cg1174,arcB,Ornithine carbamoyltransferase (EC 2.1.3.3)
Cgl0616,cg0713,,Uncharacterized protein
Cgl1961,cg2151,,"Phage shock protein A (IM30), suppresses sigma54-dependent transcription"
Cgl1608,cg1812,pyrF,Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23) (OMP decarboxylase) (OMPDCase) (OMPdecase)
Cgl1822,cg2042,,Uncharacterized protein Cgl1822/cg2042
Cgl0835,cg0955,,Rv2525c-like glycoside hydrolase-like domain-containing protein
Cgl1504,cg1698,hisG,ATP phosphoribosyltransferase (ATP-PRT) (ATP-PRTase) (EC 2.4.2.17)
Cgl0773,cg0883,,DUF3152 domain-containing protein
Cgl2402,cg2636,catA1,"Protocatechuate 3,4-dioxygenase beta subunit (EC 1.13.11.1)"
Cgl2145,cg2356,,Permeases of the drug/metabolite transporter (DMT) superfamily
Cgl1339,cg1511,,DUF4258 domain-containing protein
Cgl1909,cg2090,suhB,Inositol-1-monophosphatase (EC 3.1.3.25)
Cgl1381,cg1566,,GIY-YIG domain-containing protein
Cgl2256,cg2474,nagD,Predicted sugar phosphatases of the HAD superfamily
Cgl0559,cg0650,,Uncharacterized BCR
Cgl2539,cg2797,,Uncharacterized ACR
Cgl2694,cg2982,folP1,Dihydropteroate synthase (DHPS) (EC 2.5.1.15) (Dihydropteroate pyrophosphorylase)
Cgl0902,cg1028,,Adenine specific DNA methylase Mod (EC 2.1.1.72)
Cgl1048,cg1192,,"Aldo/keto reductases, related to diketogulonate reductase (EC 1.1.1.218)"
Cgl0090,cg0119,ureD,Urease accessory protein UreD
Cgl2019,cg2213,,"ABC-type transporter, ATPase component"
Cgl0619,cg0716,,Sucrase ferredoxin
Cgl1693,cg1908,,Aminoglycoside phosphotransferase domain-containing protein
Cgl2655,cg2940,,"ABC-type transporter, ATPase component"
Cgl2349,cg2579,,DegV domain-containing protein Cgl2349/cg2579
Cgl0825,cg0945,,rRNA methylases (EC 2.1.1.230)
Cgl0908,cg1035,,Mg-dependent DNase
Cgl2891,cg3199,,Predicted hydrolases of the HAD superfamily
Cgl3074,cg3403,,Permeases of the major facilitator superfamily
Cgl2745,cg3040,,"Predicted epimerase, PhzC/PhzF homolog"
Cgl2560,cg2831,ramA,HTH-type transcriptional activator RamA (LuxR-type transcriptional regulator) (Regulator of acetate metabolism A) (RAMA)
Cgl1248,cg1405,,Siderophore-interacting protein
Cgl2022,cg2216,cdsA,Phosphatidate cytidylyltransferase (EC 2.7.7.41)
Cgl0620,cg0717,crtEb,Lycopene elongase/hydratase (EC 2.5.1.149)
Cgl1115,cg1266,,SAM-dependent methyltransferases
Cgl0800,cg0911,,"Archaeal fructose-1,6-bisphosphatase and related enzymes of inositol monophosphatase family"
Cgl0363,cg0438,,Glycosyltransferases involved in cell wall biogenesis
Cgl1027,cg1165,,Hypothetical membrane protein
Cgl0947,cg1082,,"ABC-type transporter, permease components"
Cgl1093,cg1243,,Putative peptidase Cgl1093
Cgl3022,cg3350,hpaG,"2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (Catechol pathway) (EC 4.1.1.-, EC 5.3.3.-)"
Cgl3035,cg3364,trpA,Tryptophan synthase alpha chain (EC 4.2.1.20)
Cgl1535,cg1732,,DUF3097 domain-containing protein
Cgl2218,cg2434,,"Coenzyme F420-dependent N5,N10-methylene tetrahydromethanopterin reductase and related flavin-dependent oxidoreductases (EC 1.14.14.3)"
Cgl2637,cg2920,,Permeases of the major facilitator superfamily
Cgl1904,cg2085,,DUF3710 domain-containing protein
Cgl1784,cg2004,,DUF2726 domain-containing protein
Cgl1953,cg2139,gluD,Glutamate transport system permease protein GluD (Glutamate uptake system protein GluD)
Cgl0807,cg0921,,Siderophore-interacting protein
Cgl1629,cg1835,aroE3,shikimate dehydrogenase (NADP(+)) (EC 1.1.1.25)
Cgl1943,cg2129,dapF,Diaminopimelate epimerase (DAP epimerase) (EC 5.1.1.7) (PLP-independent amino acid racemase)
Cgl1384,cg1569,ugpE,"ABC-type transporter, permease components"
Cgl1201,cg1356,,Release factor glutamine methyltransferase (RF MTase) (EC 2.1.1.297) (N5-glutamine methyltransferase PrmC) (Protein-(glutamine-N5) MTase PrmC) (Protein-glutamine N-methyltransferase PrmC)
Cgl1581,cg1783,soxA',Glycine/D-amino acid oxidases (Deaminating) or sarcosine oxidase (EC 1.5.3.1)
Cgl1372,cg1553,,Predicted nucleoside-diphosphate-sugar epimerases
Cgl0028,cg0042,,"ABC-type transporter, permease components"
Cgl0682,cg0784,,Cell wall-associated hydrolases (Invasion-associated proteins)
Cgl3059,cg3388,,Transcriptional regulator
Cgl0250,cg0304,,Uncharacterized protein Cgl0250/cg0304 (ORFX)
Cgl1424,cg1613,sseA2,Sulfurtransferase
Cgl1263,cg1425,lysG,Lysine export transcriptional regulatory protein LysG
Cgl2892,cg3200,,1-acyl-sn-glycerol-3-phosphate acyltransferase
Cgl0910,cg1038,ksgA,"Ribosomal RNA small subunit methyltransferase A (EC 2.1.1.182) (16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase) (16S rRNA dimethyladenosine transferase) (16S rRNA dimethylase) (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase)"
Cgl2191,cg2405,qcrC,Cytochrome bc1 complex cytochrome c subunit (Cytochrome c1) (EC 7.1.1.8) (Cytochrome bc1 reductase complex subunit Qcrc) (Menaquinol--cytochrome c reductase cytochrome c subunit)
Cgl1106,cg1256,dapD,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117) (Tetrahydrodipicolinate N-succinyltransferase) (THDP succinyltransferase) (THP succinyltransferase) (Tetrahydropicolinate succinylase)"
Cgl1733,cg1950,tnp14b(ISCg14a),Transposase
Cgl0081,cg0110,,Predicted acetyltransferases and hydrolases with the alpha/beta hydrolase fold (EC 3.1.1.3)
Cgl2857,cg3164,,Hypothetical membrane protein
Cgl1355,cg1527,,Predicted transcriptional regulators
Cgl0216,cg0265,,"ABC-type transporter, ATPase component"
Cgl0367,cg0442,galU2,UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9)
Cgl1842,cg2063,,Hypothetical membrane protein
Cgl2903,cg3211,,LppX_LprAFG lipoprotein
Cgl1135,cg1286,,DNA primase
Cgl0236,cg0289,gltX,Glutamyl-Q tRNA(Asp) synthetase (Glu-Q-RSs) (EC 6.1.1.-)
Cgl1160,cg1311,catA2,"Hydroxyquinol 1,2-dioxygenase (EC 1.13.11.37)"
Cgl1636,cg1842,,Predicted metalloprotease
Cgl2761,cg3058,tnp8b(ISCg8a),Transposase
Cgl0679,cg0781,,Hypothetical membrane protein
Cgl0701,cg0803,thtR,Thiosulfate sulfurtransferase (EC 2.8.1.1)
Cgl0070,cg0091,,Phosphoglycerate dehydrogenase and related dehydrogenases
Cgl0382,cg0457,purU,Formyltetrahydrofolate deformylase (EC 3.5.1.10) (Formyl-FH(4) hydrolase)
Cgl0605,cg0701,,Permeases of the drug/metabolite transporter (DMT) superfamily
Cgl2056,cg2255,,"ABC-type transporter, permease components"
Cgl0988,cg1127,,Mycothiol S-conjugate amidase (EC 3.5.1.115)
Cgl0132,cg0168,,Predicted permeases
Cgl1396,cg1582,argB,Acetylglutamate kinase (EC 2.7.2.8) (N-acetyl-L-glutamate 5-phosphotransferase) (NAG kinase) (NAGK)
Cgl1951,cg2137,gluB,Glutamate-binding protein GluB (Glutamate uptake system protein GluB)
Cgl1845,cg2066,,Uncharacterized low-complexity proteins
Cgl0448,cg0531,menA,"1,4-dihydroxy-2-naphthoate octaprenyltransferase (DHNA-octaprenyltransferase) (EC 2.5.1.74)"
Cgl1383,cg1568,ugpA,"ABC-type transporter, permease components"
Cgl1971,cg2161,dapA,4-hydroxy-tetrahydrodipicolinate synthase (HTPA synthase) (EC 4.3.3.7)
Cgl0658,cg0760,prpB2,"Probable 2-methylisocitrate lyase 2 (2-MIC) (MICL) (EC 4.1.3.30) ((2R,3S)-2-methylisocitrate lyase)"
Cgl2285,cg2510,bex,GTPase Era
Cgl1366,cg1546,rbsK1,Ribokinase (RK) (EC 2.7.1.15)
Cgl1285,cg1452,,YbjN domain-containing protein
Cgl1413,cg1601,ppnK,NAD kinase (EC 2.7.1.23) (ATP-dependent NAD kinase)
Cgl0454,cg0537,,Transcriptional regulator
Cgl2437,cg2676,,"ABC-type transporter, permease components"
Cgl2422,cg2657,,DUF1542 domain-containing protein
Cgl1979,cg2170,truB,tRNA pseudouridine synthase B (EC 5.4.99.25) (tRNA pseudouridine(55) synthase) (Psi55 synthase) (tRNA pseudouridylate synthase) (tRNA-uridine isomerase)
Cgl0637,cg0737,,"ABC-type transporter, periplasmic component"
Cgl2325,cg2554,rbsK2,Ribokinase (RK) (EC 2.7.1.15)
Cgl0219,cg0269,,DUF3800 domain-containing protein
Cgl0671,cg0773,,Exonuclease III
Cgl0527,cg0616,fdhD,Sulfur carrier protein FdhD
Cgl2201,cg2415,cobS,Adenosylcobinamide-GDP ribazoletransferase (EC 2.7.8.26) (Cobalamin synthase) (Cobalamin-5'-phosphate synthase)
Cgl0567,cg0657,truA,tRNA pseudouridine synthase A (EC 5.4.99.12) (tRNA pseudouridine(38-40) synthase) (tRNA pseudouridylate synthase I) (tRNA-uridine isomerase I)
Cgl2949,cg3264,,"Phage shock protein A (IM30), suppresses sigma54-dependent transcription"
Cgl1002,cg1139,,Allophanate hydrolase subunit 2
Cgl1277,cg1441,,"ABC-type nitrate/sulfonate/taurine/bicarbonate transport systems, periplasmic components"
Cgl0082,cg0111,,Uncharacterized protein
Cgl2597,cg2874,purC,Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6) (SAICAR synthetase)
Cgl0665,cg0767,,Siderophore-interacting protein
Cgl2835,cg3137,iunH1,Inosine-uridine nucleoside N-ribohydrolase (EC 3.2.2.1)
Cgl3038,cg3367,,"ABC-type transporter, ATPase component"
Cgl1374,cg1556,,DoxX family protein
Cgl0276,cg0334,,Predicted phosphohydrolases (EC 3.1.-.-)
Cgl1991,cg2182,,"ABC-type transporter, permease components"
Cgl0018,cg0025,,Cytochrome c biogenesis protein
Cgl2576,cg2847,mshD,Mycothiol acetyltransferase (MSH acetyltransferase) (EC 2.3.1.189) (Mycothiol synthase)
Cgl1227,cg1383,,"ABC-type transporter, ATPase component"
Cgl0931,cg1062,,"ABC-type transporter, permease components"
Cgl0161,cg0201,iolB,5-deoxy-glucuronate isomerase
Cgl2698,cg2986,mesJ,tRNA(Ile)-lysidine synthase (EC 6.3.4.19) (tRNA(Ile)-2-lysyl-cytidine synthase) (tRNA(Ile)-lysidine synthetase)
Cgl0741,cg0848,wbbL,Predicted glycosyltransferases
Cgl2943,cg3255,uspA3,Universal stress protein UspA and related nucleotide-binding proteins
Cgl0418,cg0498,hemC,Porphobilinogen deaminase (PBG) (EC 2.5.1.61) (Hydroxymethylbilane synthase) (HMBS) (Pre-uroporphyrinogen synthase)
Cgl2815,cg3115,cysD,Sulfate adenylyltransferase subunit 2 (EC 2.7.7.4) (ATP-sulfurylase small subunit) (Sulfate adenylate transferase)
Cgl2969,cg3290,,NADPH:quinone reductase and related Zn-dependent oxidoreductases (EC 1.6.5.5)
Cgl0079,cg0108,,"NAD-dependent protein deacetylases, SIR2 family"
Cgl0165,cg0205,iolH,Sugar phosphate isomerases/epimerases
Cgl2134,cg2342,,Dehydrogenases with different specificities (Related to short-chain alcohol dehydrogenases) (EC 1.-.-.-)
Cgl3061,cg3390,,Xylose isomerase-like TIM barrel domain-containing protein
Cgl2565,cg2836,sucD,Succinate--CoA ligase [ADP-forming] subunit alpha (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha)
Cgl2760,cg3057,,Hypothetical membrane protein
Cgl0016,cg0019,,Transcriptional regulator
Cgl0882,cg1004,galU1,UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9)
Cgl0407,cg0487,,DUF3109 family protein
Cgl2647,cg2932,,Transcriptional regulators (EC 2.7.1.2)
Cgl1419,cg1608,xerD,Tyrosine recombinase XerD
Cgl2133,cg2341,,Predicted Co/Zn/Cd cation transporters
Cgl1184,cg1338,thrB,Homoserine kinase (HK) (HSK) (EC 2.7.1.39)
Cgl0690,cg0792,,Thioredoxin
Cgl2433,cg2672,crtB,Phytoene/squalene synthetase (EC 2.5.1.-)
Cgl0405,cg0485,,DUF559 domain-containing protein
Cgl0420,cg0500,qsuR,Transcriptional regulator
Cgl0695,cg0797,prpB1,"Probable 2-methylisocitrate lyase 1 (2-MIC) (MICL) (EC 4.1.3.30) ((2R,3S)-2-methylisocitrate lyase)"
Cgl1698,cg1913,,Uncharacterized protein
Cgl0803,cg0915,ftsX,Cell division protein FtsX
Cgl3056,cg3385,catA3,"Hydroxyquinol 1,2-dioxygenase (EC 1.13.11.37)"
Cgl0958,cg1095,,Uncharacterized protein
Cgl2355,cg2587,,Uncharacterized protein Cgl2355/cg2587 (EC 1.-.-.-)
Cgl0159,cg0198,,Deoxyribose-phosphate aldolase
Cgl1591,cg1794,,Nucleotide-binding protein Cgl1591/cg1794
Cgl2812,cg3112,,Probable membrane transporter protein
Cgl0286,cg0344,phdB(fabG1),Dehydrogenases with different specificities (Related to short-chain alcohol dehydrogenases) (EC 1.1.1.100)
Cgl2646,cg2931,nanA,Dihydrodipicolinate synthase/N-acetylneuraminate lyase (EC 4.3.3.7)
Cgl2989,cg3316,,UspA domain-containing protein
Cgl0100,cg0131,,Predicted oxidoreductases (Related to aryl-alcohol dehydrogenases) (EC 1.1.1.91)
Cgl0115,cg0150,,Uncharacterized BCR
Cgl0050,cg0070,,Phenol hydroxylase C-terminal dimerisation domain-containing protein
Cgl1923,cg2106,,Proteasome protein
Cgl2513,cg2768,,L-aminopeptidase/D-esterase
Cgl1416,cg1604,,Copper transporter
Cgl0080,cg0109,,Predicted acetyltransferases and hydrolases with the alpha/beta hydrolase fold (EC 3.1.1.3)
Cgl0674,cg0776,,"ABC-type transporter, periplasmic component"
Cgl2314,cg2542,,Predicted permeases
Cgl0323,cg0391,rmlB2,Nucleoside-diphosphate-sugar epimerases
Cgl2992,cg3319,,tRNA uridine(34) hydroxylase (EC 1.14.-.-) (tRNA hydroxylation protein O)
Cgl0287,cg0345,phdC,Predicted metal-dependent hydrolase of the TIM-barrel fold
Cgl2899,cg3207,pheA,Prephenate dehydratase (PDT) (EC 4.2.1.51)
Cgl1231,cg1387,fixB,Electron transfer flavoprotein alpha-subunit
Cgl0163,cg0203,iolE,Xylose isomerase-like TIM barrel domain-containing protein
Cgl1223,cg1380,ssuA,"ABC-type transporter, periplasmic component"
Cgl2617,cg2900,ddh,Meso-diaminopimelate D-dehydrogenase (DAPDH) (Meso-DAP dehydrogenase) (EC 1.4.1.16)
Cgl0977,cg1115,ppx2,exopolyphosphatase (EC 3.6.1.11)
Cgl0487,cg0575,,Hypothetical membrane protein
Cgl1026,cg1164,lytB,4-hydroxy-3-methylbut-2-enyl diphosphate reductase (HMBPP reductase) (EC 1.17.7.4)
Cgl0978,cg1116,tdcB,Threonine dehydratase (EC 4.3.1.19)
Cgl0827,cg0947,,DUF3071 domain-containing protein
Cgl2035,cg2234,,"ABC-type Fe3+-siderophores transport systems, periplasmic components"
Cgl1254,cg1413,,"ABC-type transporter, periplasmic component"
Cgl0453,cg0536,,Probable 5-dehydro-4-deoxyglucarate dehydratase (EC 4.2.1.41) (5-keto-4-deoxy-glucarate dehydratase) (KDGDH)
Cgl2136,cg2344,,Cysteine synthase (EC 2.5.1.47)
Cgl0475,cg0562,nusG,Transcription termination/antitermination protein NusG
Cgl2011,cg2202,,"ABC-type transporter, permease components"
Cgl1708,cg1923,,Uncharacterized protein
Cgl2945,cg3258,rluC2,"Pseudouridylate synthases, 23S RNA-specific"
Cgl1391,cg1577,,SGNH hydrolase-type esterase domain-containing protein
Cgl1211,cg1367,atpG,ATP synthase gamma chain (ATP synthase F1 sector gamma subunit) (F-ATPase gamma subunit)
Cgl1811,cg2031,,DUF3800 domain-containing protein
Cgl0151,cg0188,,Uncharacterized protein
Cgl0198,cg0246,,Predicted glycosyltransferases
Cgl0812,cg0927,,"ABC-type transporter, permease components"
Cgl1108,cg1259,dapD2,Tetrahydrodipicolinate N-succinyltransferase
Cgl2771,cg3069,,Uncharacterized protein
Cgl0657,cg0759,prpD2,2-methylcitrate dehydratase 2 (2-MC dehydratase) (EC 4.2.1.79) (Aconitate hydratase) (ACN) (Aconitase) (EC 4.2.1.3)
Cgl1398,cg1584,argF,Ornithine carbamoyltransferase (OTCase) (EC 2.1.3.3)
Cgl0156,cg0195,,Hypothetical membrane protein
Cgl0299,cg0360,,Phosphoserine phosphatase (EC 3.1.3.3)
Cgl1493,cg1687,,Predicted transcriptional regulator
Cgl1572,cg1771,qor,NADPH:quinone reductase and related Zn-dependent oxidoreductases (EC 1.6.5.5)
Cgl2138,cg2346,rluD,Pseudouridine synthase (EC 5.4.99.-)
Cgl0911,cg1039,,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (CMK) (EC 2.7.1.148) (4-(cytidine-5'-diphospho)-2-C-methyl-D-erythritol kinase)
Cgl2640,cg2923,,rRNA methylases (EC 2.1.1.-)
Cgl0336,cg0405,,"ABC-type Fe3+-siderophores transport systems, periplasmic components"
Cgl1331,cg1503,,Arginine transport system permease protein ArgU
Cgl3090,cg3422,trxB,Thioredoxin reductase (EC 1.8.1.9)
Cgl1318,cg1490,,NTP pyrophosphohydrolases including oxidative damage repair enzymes (EC 3.6.1.-)
Cgl0463,cg0548,menB,"1,4-dihydroxy-2-naphthoyl-CoA synthase (DHNA-CoA synthase) (EC 4.1.3.36)"
Cgl0615,cg0712,,DUF4352 domain-containing protein
Cgl3086,cg3417,,NTP pyrophosphohydrolases including oxidative damage repair enzymes
Cgl2774,cg3072,,Uncharacterized protein
Cgl2836,cg3138,,"Membrane protease subunits, stomatin/prohibitin homologs"
Cgl2386,cg2619,,Predicted permeases
Cgl0995,cg1132,coaA,Pantothenate kinase (EC 2.7.1.33) (Pantothenic acid kinase)
Cgl2438,cg2677,,"ABC-type transporter, permease components"
Cgl1814,cg2034,,AbiTii domain-containing protein
Cgl1516,cg1711,,Predicted oxidoreductases (Related to aryl-alcohol dehydrogenases)
Cgl0788,cg0898,,Pyridoxal 5'-phosphate synthase subunit PdxS (PLP synthase subunit PdxS) (EC 4.3.3.6) (Pdx1)
Cgl2241,cg2460,,SURF1-like protein
Cgl0392,cg0470,,Hypothetical membrane protein
Cgl1019,cg1157,glpX,"Fructose-1,6-bisphosphatase class 2 (FBPase class 2) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase class 2)"
Cgl0007,cg0008,,AB hydrolase-1 domain-containing protein
Cgl3042,cg3371,,Predicted Na+-dependent transporter
Cgl0942,cg1075,prsA,Ribose-phosphate pyrophosphokinase (RPPK) (EC 2.7.6.1) (5-phospho-D-ribosyl alpha-1-diphosphate synthase) (Phosphoribosyl diphosphate synthase) (Phosphoribosyl pyrophosphate synthase) (P-Rib-PP synthase) (PRPP synthase) (PRPPase)
Cgl0150,cg0187,,Serine hydrolase
Cgl1364,cg1543,iunH3,Inosine-uridine nucleoside N-ribohydrolase (EC 3.2.2.1)
