Entry	Gene Names	Gene Names (ordered locus)	Protein names
Q8NRW6	Cgl0925 cg1055	Cgl0925 cg1055	Putative 4-hydroxy-4-methyl-2-oxoglutarate aldolase (HMG aldolase) (EC 4.1.3.17) (Oxaloacetate decarboxylase) (OAA decarboxylase) (EC 4.1.1.112) (Regulator of ribonuclease activity homolog) (RraA-like protein)
Q8NRZ4	metG metS Cgl0893 cg1017	Cgl0893 cg1017	Methionine--tRNA ligase (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)
Q8NSM0	folD Cgl0648 cg0750	Cgl0648 cg0750	Bifunctional protein FolD [Includes: Methylenetetrahydrofolate dehydrogenase (EC 1.5.1.5); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)]
Q8NSR1	guaA Cgl0607 cg0703	Cgl0607 cg0703	GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2) (GMP synthetase) (Glutamine amidotransferase)
Q8NSS4	tsaD gcp Cgl0594 cg0687	Cgl0594 cg0687	tRNA N6-adenosine threonylcarbamoyltransferase (EC 2.3.1.234) (N6-L-threonylcarbamoyladenine synthase) (t(6)A synthase) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein TsaD) (tRNA threonylcarbamoyladenosine biosynthesis protein TsaD)
Q8NST4	glmM Cgl0583 cg0675	Cgl0583 cg0675	Phosphoglucosamine mutase (EC 5.4.2.10)
Q8NSX5	rpsE Cgl0540 cg0631	Cgl0540 cg0631	Small ribosomal subunit protein uS5 (30S ribosomal protein S5)
Q8NTF4	murB1 murB Cgl0353 cg0423	Cgl0353 cg0423	UDP-N-acetylenolpyruvoylglucosamine reductase 1 (EC 1.3.1.98) (UDP-N-acetylmuramate dehydrogenase 1)
Q8NTW4	aftA Cgl0188 cg0236	Cgl0188 cg0236	Galactan 5-O-arabinofuranosyltransferase (EC 2.4.2.46) (Arabinofuranosyltransferase AftA)
Q9AE09	ruvB Cgl1660 cg1869	Cgl1660 cg1869	Holliday junction branch migration complex subunit RuvB (EC 3.6.4.-)
Q9X5D2	aroB Cgl1621 cg1827	Cgl1621 cg1827	3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)
O31139	hisF Cgl2094 cg2297	Cgl2094 cg2297	Imidazole glycerol phosphate synthase subunit HisF (EC 4.3.2.10) (IGP synthase cyclase subunit) (IGP synthase subunit HisF) (ImGP synthase subunit HisF) (IGPS subunit HisF)
O87330	apt Cgl1654 cg1862	Cgl1654 cg1862	Adenine phosphoribosyltransferase (APRT) (EC 2.4.2.7)
O87331	relA rel Cgl1653 cg1861	Cgl1653 cg1861	GTP pyrophosphokinase (EC 2.7.6.5) ((p)ppGpp synthase) (ATP:GTP 3'-pyrophosphotransferase) (ppGpp synthase I)
P0DKS5	arsC1 cg1706 Cgl1511	cg1706 Cgl1511	Arsenate-mycothiol transferase ArsC1 (EC 2.8.4.2) (Mycothiol-dependent arsenate reductase ArsC1)
P19537	fba fda Cgl2770 cg3068	Cgl2770 cg3068	Fructose-bisphosphate aldolase (FBP aldolase) (FBPA) (EC 4.1.2.13) (Fructose-1,6-bisphosphate aldolase)
P23669	thrC Cgl2220 cg2437	Cgl2220 cg2437	Threonine synthase (TS) (EC 4.2.3.1)
P42442	recA Cgl1955 cg2141	Cgl1955 cg2141	Protein RecA (Recombinase A)
P58998	upp Cgl0684 cg0786	Cgl0684 cg0786	Uracil phosphoribosyltransferase (EC 2.4.2.9) (UMP pyrophosphorylase) (UPRTase)
P94337	ftsZ Cgl2155 cg2366	Cgl2155 cg2366	Cell division protein FtsZ
Q01651	gap Cgl1588 cg1791	Cgl1588 cg1791	Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (NAD-dependent glyceraldehyde-3-phosphate dehydrogenase)
Q46072	ptsM ptsG Cgl1360 cg1537	Cgl1360 cg1537	PTS system mannose-specific EIIBCA component (EII-Man/EIII-Man) (EIIBCA-Man) [Includes: Mannose-specific phosphotransferase enzyme IIB component (EC 2.7.1.191) (PTS system mannose-specific EIIB component); Mannose permease IIC component (PTS system mannose-specific EIIC component); Mannose-specific phosphotransferase enzyme IIA component (PTS system mannose-specific EIIA component)]
Q59200	aspA Cgl1503 cg1697	Cgl1503 cg1697	Aspartate ammonia-lyase (Aspartase) (EC 4.3.1.1)
Q6M259	grpE Cgl2799 cg3099	Cgl2799 cg3099	Protein GrpE (HSP-70 cofactor)
Q79VC4	proP Cgl3066	Cgl3066	Ectoine/proline transporter ProP
Q79VG9	atpF Cgl1208 cg1364	Cgl1208 cg1364	ATP synthase subunit b (ATP synthase F(0) sector subunit b) (ATPase subunit I) (F-type ATPase subunit b) (F-ATPase subunit b)
Q8NLK2	yidC Cgl2940 cg3252	Cgl2940 cg3252	Membrane protein insertase YidC (Foldase YidC) (Membrane integrase YidC) (Membrane protein YidC)
Q8NLS3	trmB Cgl2865 cg3172	Cgl2865 cg3172	tRNA (guanine-N(7)-)-methyltransferase (EC 2.1.1.33) (tRNA (guanine(46)-N(7))-methyltransferase) (tRNA(m7G46)-methyltransferase)
Q8NM23	purT Cgl2759 cg3054	Cgl2759 cg3054	Formate-dependent phosphoribosylglycinamide formyltransferase (EC 6.3.1.21) (5'-phosphoribosylglycinamide transformylase 2) (Formate-dependent GAR transformylase) (GAR transformylase 2) (GART 2) (Non-folate glycinamide ribonucleotide transformylase) (Phosphoribosylglycinamide formyltransferase 2)
Q8NM79	ppa Cgl2700 cg2988	Cgl2700 cg2988	Inorganic pyrophosphatase (EC 3.6.1.1) (Pyrophosphate phospho-hydrolase) (PPase)
Q8NMD0	nanE Cgl2648 cg2933	Cgl2648 cg2933	N-acetylmannosamine-6-phosphate 2-epimerase (EC 5.1.3.9) (ManNAc-6-P epimerase)
Q8NMI4	purQ Cgl2589 cg2863	Cgl2589 cg2863	Phosphoribosylformylglycinamidine synthase subunit PurQ (FGAM synthase) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase subunit I) (FGAR amidotransferase I) (FGAR-AT I) (Glutaminase PurQ) (EC 3.5.1.2) (Phosphoribosylformylglycinamidine synthase subunit I)
