Entry	Gene Names	Gene Names (ordered locus)	Protein names
Q9X713	panC Cgl0113 cg0148	Cgl0113 cg0148	Pantothenate synthetase (PS) (EC 6.3.2.1) (Pantoate--beta-alanine ligase) (Pantoate-activating enzyme)
Q9XDZ7	murI Cgl2509 cg2762	Cgl2509 cg2762	Glutamate racemase (EC 5.1.1.3)
O24748	Cgl2153 cg2364	Cgl2153 cg2364	Pyridoxal phosphate homeostasis protein (PLP homeostasis protein)
P10341	pheA Cgl2899 cg3207	Cgl2899 cg3207	Prephenate dehydratase (PDT) (EC 4.2.1.51)
P38376	secY Cgl0555 cg0647	Cgl0555 cg0647	Protein translocase subunit SecY
P42458	Cgl0830 cg0950	Cgl0830 cg0950	Probable FK506-binding protein (EC 5.2.1.8) (Peptidyl-prolyl cis-trans isomerase) (PPIase) (Rotamase)
Q59283	argF Cgl1398 cg1584	Cgl1398 cg1584	Ornithine carbamoyltransferase (OTCase) (EC 2.1.3.3)
Q6M4B7	Cgl1903 cg2084	Cgl1903 cg2084	Uncharacterized RNA methyltransferase Cgl1903/cg2084 (EC 2.1.1.-)
Q8NLF0	trhO Cgl2992 cg3319	Cgl2992 cg3319	tRNA uridine(34) hydroxylase (EC 1.14.-.-) (tRNA hydroxylation protein O)
Q8NLL5	msrA Cgl2926 cg3236	Cgl2926 cg3236	Peptide methionine sulfoxide reductase MsrA (Protein-methionine-S-oxide reductase) (EC 1.8.4.11) (Peptide-methionine (S)-S-oxide reductase) (Peptide Met(O) reductase)
Q8NM44	Cgl2736 cg3031	Cgl2736 cg3031	Putative glutamate--cysteine ligase 2 (EC 6.3.2.2) (Gamma-glutamylcysteine synthetase 2) (GCS 2) (Gamma-GCS 2)
Q8NNB7	ybeY Cgl2287 cg2512	Cgl2287 cg2512	Endoribonuclease YbeY (EC 3.1.-.-)
Q8NND1	dgt Cgl2273 cg2494	Cgl2273 cg2494	Deoxyguanosinetriphosphate triphosphohydrolase-like protein
Q8NNX5	rimM Cgl2052 cg2251	Cgl2052 cg2251	Ribosome maturation factor RimM
Q8NP02	tsf Cgl2025 cg2221	Cgl2025 cg2221	Elongation factor Ts (EF-Ts)
Q8NP49	rpsO Cgl1976 cg2167	Cgl1976 cg2167	Small ribosomal subunit protein uS15 (30S ribosomal protein S15)
Q8NP88	nrdR Cgl1928 cg2112	Cgl1928 cg2112	Transcriptional repressor NrdR
Q8NQ40	pyrF Cgl1608 cg1812	Cgl1608 cg1812	Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23) (OMP decarboxylase) (OMPDCase) (OMPdecase)
Q8NQ47	fmt Cgl1600 cg1803	Cgl1600 cg1803	Methionyl-tRNA formyltransferase (EC 2.1.2.9)
Q8NQ56	Cgl1591 cg1794	Cgl1591 cg1794	Nucleotide-binding protein Cgl1591/cg1794
Q8NQD8	arc Cgl1497 cg1691	Cgl1497 cg1691	AAA ATPase forming ring-shaped complexes (ARC)
Q8NQG6	mntP Cgl1469 cg1660	Cgl1469 cg1660	Manganese exporter MntP
Q8NQP8	infC Cgl1378 cg1563	Cgl1378 cg1563	Translation initiation factor IF-3
Q8NRD0	tatB Cgl1122 cg1273	Cgl1122 cg1273	Sec-independent protein translocase protein TatB
Q8NRX4	pkk2A Cgl0917	Cgl0917	Putative GDP-polyphosphate phosphotransferase PKK2A (EC 2.7.4.-)
Q8NS11	rpmF Cgl0873 cg0995	Cgl0873 cg0995	Large ribosomal subunit protein bL32 (50S ribosomal protein L32)
Q8NSS8	Cgl0590 cg0683	Cgl0590 cg0683	Uncharacterized transporter Cgl0590/cg0683
Q8NSV4	rpsD Cgl0563 cg0654	Cgl0563 cg0654	Small ribosomal subunit protein uS4 (30S ribosomal protein S4)
Q8NSZ2	rplE Cgl0523 cg0610	Cgl0523 cg0610	Large ribosomal subunit protein uL5 (50S ribosomal protein L5)
Q8NSZ3	rplX Cgl0522 cg0609	Cgl0522 cg0609	Large ribosomal subunit protein uL24 (50S ribosomal protein L24)
Q8NT20	rpsG Cgl0494 cg0582	Cgl0494 cg0582	Small ribosomal subunit protein uS7 (30S ribosomal protein S7)
Q8NT29	rplJ Cgl0485 cg0572	Cgl0485 cg0572	Large ribosomal subunit protein uL10 (50S ribosomal protein L10)
Q8NT57	Cgl0453 cg0536	Cgl0453 cg0536	Probable 5-dehydro-4-deoxyglucarate dehydratase (EC 4.2.1.41) (5-keto-4-deoxy-glucarate dehydratase) (KDGDH)
Q9ETA7	atpC Cgl1213 cg1369	Cgl1213 cg1369	ATP synthase epsilon chain (ATP synthase F1 sector epsilon subunit) (F-ATPase epsilon subunit)
Q9KJU4	hisC Cgl2101 cg2304	Cgl2101 cg2304	Histidinol-phosphate aminotransferase (EC 2.6.1.9) (Imidazole acetol-phosphate transaminase)
P42456	leuL Cgl0248.1 cg0303.1	Cgl0248.1 cg0303.1	leu leader peptide (leuA operon attenuator peptide)
P42531	Cgl1270 cg1434	Cgl1270 cg1434	Uncharacterized protein Cgl1270/cg1434
P61173	rpmJ Cgl2533 cg2791	Cgl2533 cg2791	Large ribosomal subunit protein bL36 (50S ribosomal protein L36)
P66455	rpsR Cgl0866 cg0988	Cgl0866 cg0988	Small ribosomal subunit protein bS18 (30S ribosomal protein S18)
P71121	thtR Cgl0701 cg0803	Cgl0701 cg0803	Thiosulfate sulfurtransferase (EC 2.8.1.1)
Q8NL51	rnpA Cgl3098 cg3431	Cgl3098 cg3431	Ribonuclease P protein component (RNase P protein) (RNaseP protein) (EC 3.1.26.5) (Protein C5)
Q8NL53	rsmG Cgl3096 cg3428	Cgl3096 cg3428	Ribosomal RNA small subunit methyltransferase G (EC 2.1.1.-) (16S rRNA 7-methylguanosine methyltransferase) (16S rRNA m7G methyltransferase)
Q8NLF9	rpsF Cgl2983 cg3308	Cgl2983 cg3308	Small ribosomal subunit protein bS6 (30S ribosomal protein S6)
Q8NLG1	rplI Cgl2981 cg3306	Cgl2981 cg3306	Large ribosomal subunit protein bL9 (50S ribosomal protein L9)
Q8NMT1	uxaC Cgl2484 cg2731	Cgl2484 cg2731	Uronate isomerase (EC 5.3.1.12) (Glucuronate isomerase) (Uronic isomerase)
Q8NN60	Cgl2349 cg2579	Cgl2349 cg2579	DegV domain-containing protein Cgl2349/cg2579
Q8NNB3	hrcA Cgl2291 cg2516	Cgl2291 cg2516	Heat-inducible transcription repressor HrcA
Q8NNI8	Cgl2211 cg2425	Cgl2211 cg2425	Uncharacterized transporter Cgl2211/cg2425
Q8NNM7	rsmH mraW Cgl2166 cg2377	Cgl2166 cg2377	Ribosomal RNA small subunit methyltransferase H (EC 2.1.1.199) (16S rRNA m(4)C1402 methyltransferase) (rRNA (cytosine-N(4)-)-methyltransferase RsmH)
Q8NNW4	acyP Cgl2066 cg2266	Cgl2066 cg2266	Acylphosphatase (EC 3.6.1.7) (Acylphosphate phosphohydrolase)
Q8NP03	frr Cgl2023 cg2217	Cgl2023 cg2217	Ribosome-recycling factor (RRF) (Ribosome-releasing factor)
Q8NQ03	Cgl1651 cg1859	Cgl1651 cg1859	Uncharacterized protein Cgl1651/cg1859
Q8NQ23	Cgl1631 cg1837	Cgl1631 cg1837	Putative pre-16S rRNA nuclease (EC 3.1.-.-)
Q8NQK0	zupT Cgl1434 cg1623	Cgl1434 cg1623	Zinc transporter ZupT
Q8NRE9	mshB Cgl1100 cg1250	Cgl1100 cg1250	1D-myo-inositol 2-acetamido-2-deoxy-alpha-D-glucopyranoside deacetylase (GlcNAc-Ins deacetylase) (EC 3.5.1.103) (N-acetyl-1-D-myo-inositol 2-amino-2-deoxy-alpha-D-glucopyranoside deacetylase)
Q8NRF6	Cgl1093 cg1243	Cgl1093 cg1243	Putative peptidase Cgl1093
Q8NRM3	xseA Cgl1025 cg1163	Cgl1025 cg1163	Exodeoxyribonuclease 7 large subunit (EC 3.1.11.6) (Exodeoxyribonuclease VII large subunit) (Exonuclease VII large subunit)
Q8NSH0	Cgl0705 cg0809	Cgl0705 cg0809	Nucleoside triphosphate pyrophosphatase (EC 3.6.1.9) (Nucleotide pyrophosphatase) (Nucleotide PPase)
Q8NSV6	rpsM Cgl0561 cg0652	Cgl0561 cg0652	Small ribosomal subunit protein uS13 (30S ribosomal protein S13)
Q8NSZ4	rplN Cgl0521 cg0608	Cgl0521 cg0608	Large ribosomal subunit protein uL14 (50S ribosomal protein L14)
Q8NT26	rpoB Cgl0488 cg0576	Cgl0488 cg0576	DNA-directed RNA polymerase subunit beta (RNAP subunit beta) (EC 2.7.7.6) (RNA polymerase subunit beta) (Transcriptase subunit beta)
Q8NT39	menG Cgl0471 cg0556	Cgl0471 cg0556	Demethylmenaquinone methyltransferase (EC 2.1.1.163)
Q8NTQ8	recR Cgl0244 cg0298	Cgl0244 cg0298	Recombination protein RecR
Q8NU99	crgA Cgl0040 cg0055	Cgl0040 cg0055	Cell division protein CrgA
O88101	argH Cgl1401 cg1588	Cgl1401 cg1588	Argininosuccinate lyase (ASAL) (EC 4.3.2.1) (Arginosuccinase)
P06556	trpL Cgl3028.1 cg3357.1	Cgl3028.1 cg3357.1	trp operon leader peptide
P06561	trpB Cgl3034 cg3363	Cgl3034 cg3363	Tryptophan synthase beta chain (EC 4.2.1.20)
P0C1D6	csp1 cop1 Cgl2875 cg3182	Cgl2875 cg3182	Protein PS1
P0C1E0	proA Cgl2354 cg2586	Cgl2354 cg2586	Gamma-glutamyl phosphate reductase (GPR) (EC 1.2.1.41) (Glutamate-5-semialdehyde dehydrogenase) (Glutamyl-gamma-semialdehyde dehydrogenase) (GSA dehydrogenase)
P0C1E8	Cgl2355 cg2587	Cgl2355 cg2587	Uncharacterized protein Cgl2355/cg2587 (EC 1.-.-.-)
P0DJB1	prmC hemK Cgl1201 cg1356	Cgl1201 cg1356	Release factor glutamine methyltransferase (RF MTase) (EC 2.1.1.297) (N5-glutamine methyltransferase PrmC) (Protein-(glutamine-N5) MTase PrmC) (Protein-glutamine N-methyltransferase PrmC)
P54146	amt Cgl1583 cg1785	Cgl1583 cg1785	Ammonium transporter (Ammonia channel) (Ammonium channel)
P59011	pyrR Cgl1613 cg1817	Cgl1613 cg1817	Bifunctional protein PyrR [Includes: Pyrimidine operon regulatory protein; Uracil phosphoribosyltransferase (UPRTase) (EC 2.4.2.9)]
P77844	pta Cgl2753 cg3048	Cgl2753 cg3048	Phosphate acetyltransferase (EC 2.3.1.8) (Phosphotransacetylase)
P94338	pgeF Cgl2154 cg2365	Cgl2154 cg2365	Peptidoglycan editing factor PgeF (PG-editing factor) (EC 3.5.-.-)
Q6M8X7	recF Cgl0004 cg0005	Cgl0004 cg0005	DNA replication and repair protein RecF
Q79VJ1	ureG Cgl0089 cg0118	Cgl0089 cg0118	Urease accessory protein UreG
Q79VJ2	ureF Cgl0088 cg0117	Cgl0088 cg0117	Urease accessory protein UreF
Q8NM41	def2 Cgl2738 cg3034	Cgl2738 cg3034	Peptide deformylase 2 (PDF 2) (EC 3.5.1.88) (Polypeptide deformylase 2)
Q8NMB8	ispD Cgl2660 cg2945	Cgl2660 cg2945	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60) (4-diphosphocytidyl-2C-methyl-D-erythritol synthase) (MEP cytidylyltransferase) (MCT)
Q8NMJ7	mshD Cgl2576 cg2847	Cgl2576 cg2847	Mycothiol acetyltransferase (MSH acetyltransferase) (EC 2.3.1.189) (Mycothiol synthase)
Q8NMU1	orn ornA Cgl2473 cg2718	Cgl2473 cg2718	Oligoribonuclease (EC 3.1.15.-)
Q8NN51	rpmA Cgl2362 cg2594	Cgl2362 cg2594	Large ribosomal subunit protein bL27 (50S ribosomal protein L27)
Q8NNJ8	cobT Cgl2200 cg2414	Cgl2200 cg2414	Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase (NN:DBI PRT) (EC 2.4.2.21) (N(1)-alpha-phosphoribosyltransferase)
Q8NNK6	Cgl2188 cg2402	Cgl2188 cg2402	Probable endopeptidase Cgl2188 (EC 3.4.-.-)
Q8NP31	proS Cgl1994 cg2185	Cgl1994 cg2185	Proline--tRNA ligase (EC 6.1.1.15) (Prolyl-tRNA synthetase) (ProRS)
Q8NP46	truB Cgl1979 cg2170	Cgl1979 cg2170	tRNA pseudouridine synthase B (EC 5.4.99.25) (tRNA pseudouridine(55) synthase) (Psi55 synthase) (tRNA pseudouridylate synthase) (tRNA-uridine isomerase)
Q8NP66	recX Cgl1954 cg2140	Cgl1954 cg2140	Regulatory protein RecX
Q8NQ53	ribH Cgl1594 cg1797	Cgl1594 cg1797	6,7-dimethyl-8-ribityllumazine synthase (DMRL synthase) (LS) (Lumazine synthase) (EC 2.5.1.78)
Q8NQ55	uvrC Cgl1592 cg1795	Cgl1592 cg1795	UvrABC system protein C (Protein UvrC) (Excinuclease ABC subunit C)
Q8NRQ2	coaA Cgl0995 cg1132	Cgl0995 cg1132	Pantothenate kinase (EC 2.7.1.33) (Pantothenic acid kinase)
Q8NRV2	rplY ctc Cgl0939 cg1072	Cgl0939 cg1072	Large ribosomal subunit protein bL25 (50S ribosomal protein L25) (General stress protein CTC)
Q8NS12	rpmE2 rpmE Cgl0872 cg0994	Cgl0872 cg0994	Large ribosomal subunit protein bL31B (50S ribosomal protein L31 type B)
Q8NS93	Cgl0786 cg0896	Cgl0786 cg0896	UPF0182 protein Cgl0786/cg0896
Q8NSS1	groES groS Cgl0597 cg0690	Cgl0597 cg0690	Co-chaperonin GroES (10 kDa chaperonin) (Chaperonin-10) (Cpn10)
Q8NT09	rplC Cgl0505 cg0594	Cgl0505 cg0594	Large ribosomal subunit protein uL3 (50S ribosomal protein L3)
Q8NT21	rpsL Cgl0493 cg0581	Cgl0493 cg0581	Small ribosomal subunit protein uS12 (30S ribosomal protein S12)
Q8NT28	rplL Cgl0486 cg0573	Cgl0486 cg0573	Large ribosomal subunit protein bL12 (50S ribosomal protein L7/L12)
Q9RHM3	ureE Cgl0087 cg0116	Cgl0087 cg0116	Urease accessory protein UreE
Q9RHM6	ureA Cgl0084 cg0113	Cgl0084 cg0113	Urease subunit gamma (EC 3.5.1.5) (Urea amidohydrolase subunit gamma)
P06562	trpA Cgl3035 cg3364	Cgl3035 cg3364	Tryptophan synthase alpha chain (EC 4.2.1.20)
P35865	lysI Cgl0968 cg1105	Cgl0968 cg1105	L-lysine transport protein (L-lysine permease)
Q6M1C1	rpmH Cgl3099 cg3432	Cgl3099 cg3432	Large ribosomal subunit protein bL34 (50S ribosomal protein L34)
Q79VG6	atpG Cgl1211 cg1367	Cgl1211 cg1367	ATP synthase gamma chain (ATP synthase F1 sector gamma subunit) (F-ATPase gamma subunit)
Q7DIC8	atpH Cgl1209 cg1365	Cgl1209 cg1365	ATP synthase subunit delta (ATP synthase F(1) sector subunit delta) (F-type ATPase subunit delta) (F-ATPase subunit delta)
Q8NLC4	leuS Cgl3018 cg3346	Cgl3018 cg3346	Leucine--tRNA ligase (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS)
Q8NMB4	Cgl2664 cg2949	Cgl2664 cg2949	Uncharacterized protein Cgl2664/cg2949 (P29)
Q8NMH6	purC Cgl2597 cg2874	Cgl2597 cg2874	Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6) (SAICAR synthetase)
Q8NMM8	fluC2 crcB2 Cgl2543 cg2802	Cgl2543 cg2802	Fluoride-specific ion channel FluC 2
Q8NMM9	fluC1 crcB1 Cgl2542 cg2801	Cgl2542 cg2801	Fluoride-specific ion channel FluC 1
Q8NMU4	larC Cgl2470 cg2715	Cgl2470 cg2715	Pyridinium-3,5-bisthiocarboxylic acid mononucleotide nickel insertion protein (P2TMN nickel insertion protein) (EC 4.99.1.12) (Nickel-pincer cofactor biosynthesis protein LarC)
Q8NP01	rpsB Cgl2026 cg2222	Cgl2026 cg2222	Small ribosomal subunit protein uS2 (30S ribosomal protein S2)
Q8NP09	Cgl2017 cg2211	Cgl2017 cg2211	Uncharacterized membrane protein Cgl2017/cg2211 (P20)
Q8NP40	infB Cgl1985 cg2176	Cgl1985 cg2176	Translation initiation factor IF-2
Q8NPZ8	Cgl1663 cg1872	Cgl1663 cg1872	Probable transcriptional regulatory protein Cgl1663/cg1872
Q8NQ07	hisS Cgl1647 cg1855	Cgl1647 cg1855	Histidine--tRNA ligase (EC 6.1.1.21) (Histidyl-tRNA synthetase) (HisRS)
Q8NQ33	nusB Cgl1618 cg1824	Cgl1618 cg1824	Transcription antitermination protein NusB (Antitermination factor NusB)
Q8NQ46	def1 Cgl1601 cg1804	Cgl1601 cg1804	Peptide deformylase 1 (PDF 1) (EC 3.5.1.88) (Polypeptide deformylase 1)
Q8NQ58	whiA Cgl1589 cg1792	Cgl1589 cg1792	Probable cell division protein WhiA
Q8NQA1	cpfC Cgl1537 cg1734	Cgl1537 cg1734	Coproporphyrin III ferrochelatase (EC 4.99.1.9)
Q8NQL5	xerD Cgl1419 cg1608	Cgl1419 cg1608	Tyrosine recombinase XerD
Q8NR17	gatA Cgl1247 cg1404	Cgl1247 cg1404	Glutamyl-tRNA(Gln) amidotransferase subunit A (Glu-ADT subunit A) (EC 6.3.5.7)
Q8NR57	prfA Cgl1200 cg1355	Cgl1200 cg1355	Peptide chain release factor 1 (RF-1)
Q8NS15	rpmB Cgl0869 cg0991	Cgl0869 cg0991	Large ribosomal subunit protein bL28 (50S ribosomal protein L28)
Q8NS78	prfB Cgl0801 cg0913	Cgl0801 cg0913	Peptide chain release factor 2 (RF-2)
Q8NSC0	lpqB Cgl0756 cg0865	Cgl0756 cg0865	Lipoprotein LpqB
Q8NSG3	kup Cgl0712 cg0817	Cgl0712 cg0817	Probable potassium transport system protein Kup
Q8NST5	rpsI Cgl0582 cg0674	Cgl0582 cg0674	Small ribosomal subunit protein uS9 (30S ribosomal protein S9)
Q8NST6	rplM Cgl0581 cg0673	Cgl0581 cg0673	Large ribosomal subunit protein uL13 (50S ribosomal protein L13)
Q8NSV5	rpsK Cgl0562 cg0653	Cgl0562 cg0653	Small ribosomal subunit protein uS11 (30S ribosomal protein S11)
Q8NSV7	infA Cgl0560 cg0651	Cgl0560 cg0651	Translation initiation factor IF-1
Q8NSX3	rpmD Cgl0541 cg0632	Cgl0541 cg0632	Large ribosomal subunit protein uL30 (50S ribosomal protein L30)
Q8NSX6	rplR Cgl0539 cg0630	Cgl0539 cg0630	Large ribosomal subunit protein uL18 (50S ribosomal protein L18)
Q8NSX7	rplF Cgl0538 cg0629	Cgl0538 cg0629	Large ribosomal subunit protein uL6 (50S ribosomal protein L6)
Q8NSZ9	rpmC Cgl0516 cg0603	Cgl0516 cg0603	Large ribosomal subunit protein uL29 (50S ribosomal protein L29)
Q8NT01	rpsC Cgl0514 cg0601	Cgl0514 cg0601	Small ribosomal subunit protein uS3 (30S ribosomal protein S3)
Q8NT02	rplV Cgl0513 cg0600	Cgl0513 cg0600	Large ribosomal subunit protein uL22 (50S ribosomal protein L22)
Q8NT05	rplB Cgl0510 cg0598	Cgl0510 cg0598	Large ribosomal subunit protein uL2 (50S ribosomal protein L2)
Q8NT06	rplW Cgl0508 cg0597	Cgl0508 cg0597	Large ribosomal subunit protein uL23 (50S ribosomal protein L23)
Q8NT08	rplD Cgl0507 cg0596	Cgl0507 cg0596	Large ribosomal subunit protein uL4 (50S ribosomal protein L4)
Q8NT19	fusA Cgl0495 cg0583	Cgl0495 cg0583	Elongation factor G (EF-G)
Q8NTQ9	Cgl0243 cg0297	Cgl0243 cg0297	Nucleoid-associated protein Cgl0243/cg0297
Q8NTR6	gluQ Cgl0236 cg0289	Cgl0236 cg0289	Glutamyl-Q tRNA(Asp) synthetase (Glu-Q-RSs) (EC 6.1.1.-)
Q9KJU3	hisB Cgl2100 cg2303	Cgl2100 cg2303	Imidazoleglycerol-phosphate dehydratase (IGPD) (EC 4.2.1.19)
Q9Z469	secG Cgl1584 cg1786	Cgl1584 cg1786	Protein-export membrane protein SecG
P0C1E4	proC Cgl0410 cg0490	Cgl0410 cg0490	Pyrroline-5-carboxylate reductase (P5C reductase) (P5CR) (EC 1.5.1.2) (PCA reductase)
P0C544	rplO Cgl0542 cg0634	Cgl0542 cg0634	Large ribosomal subunit protein uL15 (50S ribosomal protein L15)
P35867	Cgl0966 cg1103	Cgl0966 cg1103	Uncharacterized protein Cgl0966/cg1103
P42461	thiX Cgl2332 cg2561	Cgl2332 cg2561	Thiamine biosynthesis protein X
P66326	rpsJ Cgl0504 cg0593	Cgl0504 cg0593	Small ribosomal subunit protein uS10 (30S ribosomal protein S10)
P66482	rpsS Cgl0511 cg0599	Cgl0511 cg0599	Small ribosomal subunit protein uS19 (30S ribosomal protein S19)
P94336	ftsQ divB Cgl2156 cg2367	Cgl2156 cg2367	Cell division protein FtsQ
Q45288	efp Cgl1619 cg1825	Cgl1619 cg1825	Elongation factor P (EF-P)
Q6M6W5	rpf1 Cgl0819 cg0936	Cgl0819 cg0936	Resuscitation-promoting factor Rpf1 (EC 3.-.-.-)
Q8NLG0	ssb Cgl2982 cg3307	Cgl2982 cg3307	Single-stranded DNA-binding protein (SSB)
Q8NLY6	dnaK Cgl2800 cg3100	Cgl2800 cg3100	Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70)
Q8NMJ4	Cgl2579 cg2850	Cgl2579 cg2850	Ferric nitrobindin-like protein
Q8NMQ1	clpS Cgl2515 cg2772	Cgl2515 cg2772	ATP-dependent Clp protease adapter protein ClpS
Q8NMS4	acpS ppt1 Cgl2491 cg2738	Cgl2491 cg2738	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)
