gsm_accession,filename,size_bytes,qc_status,strain,notes
GSM5197082,GSM5197082_0063_.gpr.gz,415673,LOW_SIZE_WARN,ATCC13032,Compendium sub-sample
GSM5197083,GSM5197083_0064_.gpr.gz,394190,LOW_SIZE_WARN,ATCC13032,Compendium sub-sample
GSM5197084,GSM5197084_0065_.gpr.gz,380536,LOW_SIZE_WARN,ATCC13032,Compendium sub-sample
GSM5197085,GSM5197085_0066_.gpr.gz,418967,LOW_SIZE_WARN,ATCC13032,Compendium sub-sample
GSM5197086,GSM5197086_0067_.gpr.gz,400865,LOW_SIZE_WARN,ATCC13032,Compendium sub-sample
GSM5197087,GSM5197087_0068_.gpr.gz,376997,LOW_SIZE_WARN,ATCC13032,Compendium sub-sample
GSM5197088,GSM5197088_0069_.gpr.gz,1007068,PASS,ATCC13032,Compendium sub-sample
GSM5197089,GSM5197089_0070_.gpr.gz,954901,PASS,ATCC13032,Compendium sub-sample
GSM5197090,GSM5197090_0071_.gpr.gz,980694,PASS,ATCC13032,Compendium sub-sample
GSM5197091,GSM5197091_0072_.gpr.gz,1017321,PASS,ATCC13032,Compendium sub-sample
GSM5197092,GSM5197092_0073_.gpr.gz,1023194,PASS,ATCC13032,Compendium sub-sample
GSM5197093,GSM5197093_0074_.gpr.gz,1017276,PASS,ATCC13032,Compendium sub-sample
GSM5197094,GSM5197094_0075_.gpr.gz,9057252,PASS,ATCC13032,Compendium sub-sample
GSM5197095,GSM5197095_0076_.gpr.gz,990011,PASS,ATCC13032,Compendium sub-sample
GSM5197096,GSM5197096_0077_.gpr.gz,979423,PASS,ATCC13032,Compendium sub-sample
GSM5197097,GSM5197097_0078_.gpr.gz,900437,PASS,ATCC13032,Compendium sub-sample
GSM5197098,GSM5197098_0079_.gpr.gz,999221,PASS,ATCC13032,Compendium sub-sample
GSM5197099,GSM5197099_0080_.gpr.gz,992847,PASS,ATCC13032,Compendium sub-sample
GSM5197100,GSM5197100_0081_.gpr.gz,1035550,PASS,ATCC13032,Compendium sub-sample
GSM5197101,GSM5197101_0082_.gpr.gz,984566,PASS,ATCC13032,Compendium sub-sample
GSM5197102,GSM5197102_0083_.gpr.gz,861585,PASS,ATCC13032,Compendium sub-sample
GSM5197103,GSM5197103_0084_.gpr.gz,4150547,PASS,ATCC13032,Compendium sub-sample
GSM5197104,GSM5197104_0085_.gpr.gz,4343185,PASS,ATCC13032,Compendium sub-sample
GSM5197105,GSM5197105_0086_.gpr.gz,4122394,PASS,ATCC13032,Compendium sub-sample
GSM5197106,GSM5197106_0087_.gpr.gz,491096,LOW_SIZE_WARN,ATCC13032,Compendium sub-sample
GSM5197107,GSM5197107_0088_.gpr.gz,511467,PASS,ATCC13032,Compendium sub-sample
GSM5197108,GSM5197108_0089_.gpr.gz,907519,PASS,ATCC13032,Compendium sub-sample
GSM5197109,GSM5197109_0090_.gpr.gz,916336,PASS,ATCC13032,Compendium sub-sample
GSM5197110,GSM5197110_0091_.gpr.gz,1130658,PASS,ATCC13032,Compendium sub-sample
GSM5197111,GSM5197111_0092_.gpr.gz,1089270,PASS,ATCC13032,Compendium sub-sample
GSM5197112,GSM5197112_0093_.gpr.gz,1047864,PASS,ATCC13032,Compendium sub-sample
GSM5197113,GSM5197113_0094_.gpr.gz,952532,PASS,ATCC13032,Compendium sub-sample
GSM5197114,GSM5197114_0095_.gpr.gz,958120,PASS,ATCC13032,Compendium sub-sample
GSM5197115,GSM5197115_0096_.gpr.gz,826493,PASS,ATCC13032,Compendium sub-sample
GSM5197116,GSM5197116_0097_.gpr.gz,954236,PASS,ATCC13032,Compendium sub-sample
GSM5197117,GSM5197117_0098_.gpr.gz,1020650,PASS,ATCC13032,Compendium sub-sample
GSM5197118,GSM5197118_0099_.gpr.gz,913033,PASS,ATCC13032,Compendium sub-sample
GSM5197119,GSM5197119_0100_.gpr.gz,862330,PASS,ATCC13032,Compendium sub-sample
GSM5197120,GSM5197120_0101_.gpr.gz,995220,PASS,ATCC13032,Compendium sub-sample
GSM5197121,GSM5197121_0102_.gpr.gz,4165723,PASS,ATCC13032,Compendium sub-sample
GSM5197122,GSM5197122_0103_.gpr.gz,4157509,PASS,ATCC13032,Compendium sub-sample
GSM5197123,GSM5197123_0104_.gpr.gz,971344,PASS,ATCC13032,Compendium sub-sample
GSM5197124,GSM5197124_0105_.gpr.gz,978649,PASS,ATCC13032,Compendium sub-sample
GSM5197125,GSM5197125_0106_.gpr.gz,1010582,PASS,ATCC13032,Compendium sub-sample
GSM5197126,GSM5197126_0107_.gpr.gz,904060,PASS,ATCC13032,Compendium sub-sample
GSM5197127,GSM5197127_0108_.gpr.gz,891052,PASS,ATCC13032,Compendium sub-sample
GSM5197128,GSM5197128_0109_.gpr.gz,977625,PASS,ATCC13032,Compendium sub-sample
GSM5197129,GSM5197129_0110_.gpr.gz,932509,PASS,ATCC13032,Compendium sub-sample
GSM5197130,GSM5197130_0111_.gpr.gz,985677,PASS,ATCC13032,Compendium sub-sample
GSM5197131,GSM5197131_0112_.gpr.gz,4571737,PASS,ATCC13032,Compendium sub-sample
GSM5197132,GSM5197132_0113_.gpr.gz,4107665,PASS,ATCC13032,Compendium sub-sample
GSM5197133,GSM5197133_0114_.gpr.gz,4528562,PASS,ATCC13032,Compendium sub-sample
GSM5197134,GSM5197134_0115_.gpr.gz,4238169,PASS,ATCC13032,Compendium sub-sample
GSM5197135,GSM5197135_0116_.gpr.gz,4063302,PASS,ATCC13032,Compendium sub-sample
GSM5197136,GSM5197136_0117_.gpr.gz,3957310,PASS,ATCC13032,Compendium sub-sample
GSM5197137,GSM5197137_0118_.gpr.gz,4182732,PASS,ATCC13032,Compendium sub-sample
GSM5197138,GSM5197138_0119_.gpr.gz,4115076,PASS,ATCC13032,Compendium sub-sample
GSM5197139,GSM5197139_0120_.gpr.gz,4215611,PASS,ATCC13032,Compendium sub-sample
GSM5197140,GSM5197140_0121_.gpr.gz,4199063,PASS,ATCC13032,Compendium sub-sample
GSM5197141,GSM5197141_0122_.gpr.gz,4168407,PASS,ATCC13032,Compendium sub-sample
GSM5197142,GSM5197142_0123_.gpr.gz,1011044,PASS,ATCC13032,Compendium sub-sample
GSM5197143,GSM5197143_0124_.gpr.gz,1029382,PASS,ATCC13032,Compendium sub-sample
GSM5197144,GSM5197144_0125_.gpr.gz,3590536,PASS,ATCC13032,Compendium sub-sample
GSM5197145,GSM5197145_0126_.gpr.gz,3507636,PASS,ATCC13032,Compendium sub-sample
GSM5197146,GSM5197146_0127_.gpr.gz,3638847,PASS,ATCC13032,Compendium sub-sample
GSM5197147,GSM5197147_0128_.gpr.gz,3601419,PASS,ATCC13032,Compendium sub-sample
GSM5197148,GSM5197148_0129_.gpr.gz,3652270,PASS,ATCC13032,Compendium sub-sample
GSM5197149,GSM5197149_0130_.gpr.gz,3643072,PASS,ATCC13032,Compendium sub-sample
GSM5197150,GSM5197150_0131_.gpr.gz,3689961,PASS,ATCC13032,Compendium sub-sample
GSM5197151,GSM5197151_0132_.gpr.gz,3727052,PASS,ATCC13032,Compendium sub-sample
GSM5197152,GSM5197152_0133_.gpr.gz,3848419,PASS,ATCC13032,Compendium sub-sample
GSM5197153,GSM5197153_0134_.gpr.gz,951033,PASS,ATCC13032,Compendium sub-sample
GSM5197154,GSM5197154_0135_.gpr.gz,964175,PASS,ATCC13032,Compendium sub-sample
GSM5197155,GSM5197155_0136_.gpr.gz,914308,PASS,ATCC13032,Compendium sub-sample
GSM5197156,GSM5197156_0137_.gpr.gz,4337496,PASS,ATCC13032,Compendium sub-sample
GSM5197157,GSM5197157_0138_.gpr.gz,4145735,PASS,ATCC13032,Compendium sub-sample
GSM5197158,GSM5197158_0139_.gpr.gz,4320773,PASS,ATCC13032,Compendium sub-sample
GSM5197159,GSM5197159_0140_.gpr.gz,4396650,PASS,ATCC13032,Compendium sub-sample
GSM5197160,GSM5197160_0141_.gpr.gz,4143407,PASS,ATCC13032,Compendium sub-sample
GSM5197161,GSM5197161_0142_.gpr.gz,4227496,PASS,ATCC13032,Compendium sub-sample
GSM5197162,GSM5197162_0143_.gpr.gz,4400834,PASS,ATCC13032,Compendium sub-sample
GSM5197163,GSM5197163_0144_.gpr.gz,4286984,PASS,ATCC13032,Compendium sub-sample
GSM5197164,GSM5197164_0145_.gpr.gz,4839741,PASS,ATCC13032,Compendium sub-sample
GSM5197165,GSM5197165_0146_.gpr.gz,4814000,PASS,ATCC13032,Compendium sub-sample
GSM5197166,GSM5197166_0147_.gpr.gz,2330417,PASS,ATCC13032,Compendium sub-sample
GSM5197167,GSM5197167_0148_.gpr.gz,1030743,PASS,ATCC13032,Compendium sub-sample
GSM5197168,GSM5197168_0149_.gpr.gz,502766,PASS,ATCC13032,Compendium sub-sample
GSM5197169,GSM5197169_0150_.gpr.gz,1030743,PASS,ATCC13032,Compendium sub-sample
GSM5197170,GSM5197170_0151_.gpr.gz,502766,PASS,ATCC13032,Compendium sub-sample
GSM5197171,GSM5197171_0152_.gpr.gz,1073140,PASS,ATCC13032,Compendium sub-sample
