merged_gene	n_samples_in_tsv	n_models_found	n_missing_samples	sample_prefixes	missing_sample_prefixes
Cgl1355	2	2	0	Cgl1355-1;Cgl1355-2	
Cgl1367	2	2	0	Cgl1367-1;Cgl1367-2	
Cgl1371	2	2	0	Cgl1371-1;Cgl1371-2	
Cgl1399	2	2	0	Cgl1399-1;Cgl1399-2	
Cgl1425	2	2	0	Cgl1425-1;Cgl1425-2	
Cgl1442	2	2	0	Cgl1442-1;Cgl1442-2	
Cgl1444	2	2	0	Cgl1444-1;Cgl1444-2	
Cgl1457	2	2	0	Cgl1457-1;Cgl1457-2	
Cgl1492	2	2	0	Cgl1492-1;Cgl1492-2	
Cgl1493	2	2	0	Cgl1493-1;Cgl1493-2	
Cgl1534	2	2	0	Cgl1534-1;Cgl1534-2	
Cgl1541	2	2	0	Cgl1541-1;Cgl1541-2	
Cgl1563	2	2	0	Cgl1563-1;Cgl1563-2	
Cgl1564	2	2	0	Cgl1564-1;Cgl1564-2	
Cgl1565	2	2	0	Cgl1565-1;Cgl1565-2	
Cgl1589	2	1	1	Cgl1589-1;Cgl1589-2	Cgl1589-2
Cgl1613	2	2	0	Cgl1613-1;Cgl1613-2	
Cgl1625	2	1	1	Cgl1625-1;Cgl1625-2	Cgl1625-2
Cgl1640	2	2	0	Cgl1640-1;Cgl1640-2	
Cgl1653	2	2	0	Cgl1653-1;Cgl1653-2	
Cgl1663	2	2	0	Cgl1663-1;Cgl1663-2	
Cgl1718	2	2	0	Cgl1718-1;Cgl1718-2	
Cgl1820	2	2	0	Cgl1820-1;Cgl1820-2	
Cgl1910	2	2	0	Cgl1910-1;Cgl1910-2	
Cgl1911	2	2	0	Cgl1911-1;Cgl1911-2	
Cgl1919	2	2	0	Cgl1919-1;Cgl1919-2	
Cgl1920	4	4	0	Cgl1920-1;Cgl1920-1-1;Cgl1920-1-2;Cgl1920-2	
Cgl1925	2	2	0	Cgl1925-1;Cgl1925-2	
Cgl1930	2	2	0	Cgl1930-1;Cgl1930-2	
Cgl1931	2	2	0	Cgl1931-1;Cgl1931-2	
Cgl1934	2	2	0	Cgl1934-1;Cgl1934-2	
Cgl1954	2	2	0	Cgl1954-1;Cgl1954-2	
Cgl1955	2	2	0	Cgl1955-1;Cgl1955-2	
